date,value
2022-07-19,1777.179
2022-07-18,1758.16
2022-07-17,1757.78
2022-07-16,1757.78
2022-07-15,1759.75
2022-07-14,1759.3
2022-07-13,1760.38
2022-07-12,1760.38
2022-07-11,1760.38
2022-07-10,1751.09
2022-07-09,1751.09
2022-07-08,1762.25
2022-07-07,1755.9
2022-07-06,1748.14
2022-07-05,1758.75
2022-07-04,1758.75
2022-07-03,1750.95
2022-07-02,1750.95
2022-07-01,1752.19
2022-06-30,1748.46
2022-06-29,1747.07
2022-06-28,1746.78
2022-06-27,1750.57
2022-06-26,1751.84
2022-06-25,1751.84
2022-06-24,1744.54
2022-06-23,1745.86
2022-06-22,1745.86
2022-06-21,1741.18
2022-06-20,1741.18
2022-06-19,1733.77
2022-06-18,1733.77
2022-06-17,1733.77
2022-06-16,1743.83
2022-06-15,1741.16
2022-06-14,1750.92
2022-06-13,1760.25
2022-06-12,1756.18
2022-06-11,1756.18
2022-06-10,1751.34
2022-06-09,1751.34
2022-06-08,1743.25
2022-06-07,1739.15
2022-06-06,1745.03
2022-06-05,1744.84
2022-06-04,1739.27
2022-06-03,1730.29
2022-06-02,1730.29
2022-06-01,1741.51
2022-05-31,1741.17
2022-05-30,1742.67
2022-05-29,1738.3
2022-05-28,1740.46
2022-05-27,1741.81
2022-05-26,1741.89
2022-05-25,1748.58
2022-05-24,1755.15
2022-05-23,1751.15
2022-05-22,1758.03
2022-05-21,1762.899
2022-05-20,1760.89
2022-05-19,1762.05
2022-05-18,1762.05
2022-05-17,1751.99
2022-05-16,1763.44
2022-05-15,1758.29
2022-05-14,1758.29
2022-05-13,1756.85
2022-05-12,1756.03
2022-05-11,1755.36
2022-05-10,1755.18
2022-05-09,1755.56
2022-05-08,1752.62
2022-05-07,1752.62
2022-05-06,1755.36
2022-05-05,1759.5
2022-05-04,1772.649
2022-05-03,1759.4
2022-05-02,1757.13
2022-05-01,1764.92
2022-04-30,1764.92
2022-04-29,1764.92
2022-04-28,1754.99
2022-04-27,1749.47
2022-04-26,1755.57
2022-04-25,1755.57
2022-04-24,1753.74
2022-04-23,1753.74
2022-04-22,1766.949
2022-04-21,1766.949
2022-04-20,1746.62
2022-04-19,1747.11
2022-04-18,1758.62
2022-04-17,1752.7
2022-04-16,1752.7
2022-04-15,1752.7
2022-04-14,1749.06
2022-04-13,1754.5
2022-04-12,1751.57
2022-04-11,1742.43
2022-04-10,1750.38
2022-04-09,1750.38
2022-04-08,1750.59
2022-04-07,1754.07
2022-04-06,1747.71
2022-04-05,1735.81
2022-04-04,1741.05
2022-04-03,1745.03
2022-04-02,1745.03
2022-04-01,1736.45
2022-03-31,1740.82
2022-03-30,1740.82
2022-03-29,1742.99
2022-03-28,1734.24
2022-03-27,1738.76
2022-03-26,1747.25
2022-03-25,1747.25
2022-03-24,1718.59
2022-03-23,1725.3
2022-03-22,1728.22
2022-03-21,1732.69
2022-03-20,1738.52
2022-03-19,1738.52
2022-03-18,1738.52
2022-03-17,1733.25
2022-03-16,1726.46
2022-03-15,1725.62
2022-03-14,1732.92
2022-03-13,1650.508
2022-03-12,1722.27
2022-03-11,1722.18
2022-03-10,1718.05
2022-03-09,1717.99
2022-03-08,1727.09
2022-03-07,1730.61
2022-03-06,1732.95
2022-03-05,1732.95
2022-03-04,1732.95
2022-03-03,1723.41
2022-03-02,1722.05
2022-03-01,1725.58
2022-02-28,1723.33
2022-02-27,1715.82
2022-02-26,1715.82
2022-02-25,1715.82
2022-02-24,1714.56
2022-02-23,1712.52
2022-02-22,1708.63
2022-02-21,1706.07
2022-02-20,1705.07
2022-02-19,1706.16
2022-02-18,1708.1
2022-02-17,1706.36
2022-02-16,1710.37
2022-02-15,1715.33
2022-02-14,1716.64
2022-02-13,1713.3
2022-02-12,1713.3
2022-02-11,1713.3
2022-02-10,1718.23
2022-02-09,1725.09
2022-02-08,1723.39
2022-02-07,1718.51
2022-02-06,1717.42
2022-02-05,1717.42
2022-02-04,1718.43
2022-02-03,1718.95
2022-02-02,1730.35
2022-02-01,1738.65
2022-01-31,1735.3
2022-01-30,1729.05
2022-01-29,1729.05
2022-01-28,1729.81
2022-01-27,1734.01
2022-01-26,1726.8
2022-01-25,1731.05
2022-01-24,1727.58
2022-01-23,1730.69
2022-01-22,1730.37
2022-01-21,1732.53
2022-01-20,1736.52
2022-01-19,1729.35
2022-01-18,1731.1
2022-01-17,1739.67
2022-01-16,1754.94
2022-01-15,1750.3
2022-01-14,1746.35
2022-01-13,1745.85
2022-01-12,1738.83
2022-01-11,1744.42
2022-01-10,1749.25
2022-01-09,1749.25
2022-01-08,1749.25
2022-01-07,1742.17
2022-01-06,1742.17
2022-01-05,1742.17
2022-01-04,1742.17
2022-01-03,1742.17
2022-01-02,1737.41
2022-01-01,1735.98
2021-12-31,1735.98
2021-12-30,1735.98
2021-12-29,1735.98
2021-12-28,1735.98
2021-12-27,1735.98
2021-12-26,1735.98
2021-12-25,1744.24
2021-12-24,1737.27
2021-12-23,1737.27
2021-12-22,1729.37
2021-12-21,1739.47
2021-12-20,1739.47
2021-12-19,1739.47
2021-12-18,1739.47
2021-12-17,1739.47
2021-12-16,1740.42
2021-12-15,1739.73
2021-12-14,1744.59
2021-12-13,1739.73
2021-12-12,1740.01
2021-12-11,1740.01
2021-12-10,1740.01
2021-12-09,1740.01
2021-12-08,1746.12
2021-12-07,1748.34
2021-12-06,1738.69
2021-12-05,1735.45
2021-12-04,1735.45
2021-12-03,1740.53
2021-12-02,1733.69
2021-12-01,1733.69
2021-11-30,1733.69
2021-11-29,1736.23
2021-11-28,1736.23
2021-11-27,1736.23
2021-11-26,1736.23
2021-11-25,1736.23
2021-11-24,1736.23
2021-11-23,1736.23
2021-11-22,1732.59
2021-11-21,1736.84
2021-11-20,1736.84
2021-11-19,1736.84
2021-11-18,1729
2021-11-17,1726.5
2021-11-16,1729.24
2021-11-15,1729.24
2021-11-14,1724.13
2021-11-13,1724.13
2021-11-12,1712.26
2021-11-11,1712.26
2021-11-10,1718.96
2021-11-09,1729.63
2021-11-08,1742.59
2021-11-07,1815.198
2021-11-06,1726.1
2021-11-05,1719.82
2021-11-04,1706.84
2021-11-03,1710.71
2021-11-02,1710.61
2021-11-01,1721.39
2021-10-31,1721.39
2021-10-30,1721.39
2021-10-29,1717.77
2021-10-28,1710.29
2021-10-27,1710.29
2021-10-26,1703.9
2021-10-25,1710.04
2021-10-24,1708.13
2021-10-23,1708.13
2021-10-22,1717.89
2021-10-21,1713.3
2021-10-20,1714.56
2021-10-19,1716.85
2021-10-18,1714.34
2021-10-17,1721.73
2021-10-16,1717.35
2021-10-15,1716.66
2021-10-14,1727.55
2021-10-13,1728.19
2021-10-12,1735.07
2021-10-11,1724.99
2021-10-10,1720.78
2021-10-09,1712.47
2021-10-08,1712.47
2021-10-07,1705.73
2021-10-06,1713.63
2021-10-05,1713.63
2021-10-04,1714.71
2021-10-03,1720.13
2021-10-02,1720.13
2021-10-01,1720.13
2021-09-30,1720.13
2021-09-29,1715.18
2021-09-28,1715.18
2021-09-27,1715.18
2021-09-26,1729.9
2021-09-25,1729.9
2021-09-24,1729.9
2021-09-23,1729.9
2021-09-22,1729.9
2021-09-21,1729.9
2021-09-20,1729.9
2021-09-19,1729.9
2021-09-18,1729.9
2021-09-17,1729.9
2021-09-16,1729.9
2021-09-15,1729.9
2021-09-14,1729.9
2021-09-13,1705.4
2021-09-12,1695.59
2021-09-11,1695.59
2021-09-10,1695.59
2021-09-09,1695.59
2021-09-08,1695.59
2021-09-07,1695.59
2021-09-06,1695.59
2021-09-05,1703.19
2021-09-04,1703.19
2021-09-03,1703.19
2021-09-02,1703.19
2021-09-01,1697.87
2021-08-31,1690.18
2021-08-30,1690.62
2021-08-29,1690.62
2021-08-28,1694.18
